Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена,Log_Цена,Log_Площадь,Кол-во комнат_num
2,45.0,4,5,0.8,6.19871562154066,Горки,0.9391815920362112,0,0,1,0,7550000,15.83705825367553,3.828641396489095,2.0
1,31.7,1,5,0.2,4.750164531963398,Козья слобода,2.651394306592394,0,0,1,0,6100000,15.623799493077952,3.487375077903208,1.0
1,31.1,4,5,0.8,5.093968446260751,Аметьево,0.6998518440958403,0,0,0,0,6191999,15.6387686942517,3.4688560301359703,1.0
2,43.0,3,5,0.6,11.127303565385043,Авиастроительная,4.661588657562965,0,0,0,0,4900000,15.404745967162468,3.784189633918261,2.0
2,51.4,2,9,0.222222,3.4858235110146807,Козья слобода,0.6550550711194861,0,0,1,0,8990000,16.0116235176825,3.9589065913269965,2.0
1,29.8,3,5,0.6,1.6924734197001048,Суконная слобода,0.7525056413251808,0,0,1,0,8500000,15.955576839107596,3.427514689979529,1.0
1,37.0,5,9,0.555556,4.54666521002906,Козья слобода,2.407993413821332,0,0,1,0,6970000,15.757125926208719,3.6375861597263857,1.0
студия,15.0,6,9,0.666667,6.227456166965628,Горки,0.33640835813389,0,0,1,0,4350000,15.285686632949897,2.772588722239781,
3,65.9,9,9,1.0,5.498010546968326,Козья слобода,3.356461862000464,0,0,1,0,11000000,16.213405921671733,4.203198967134183,3.0
3,75.0,4,10,0.4,3.835301747135038,Яшьлек,0.9902516562802092,0,0,0,0,14600000,16.496532155171714,4.330733340286331,3.0
1,39.2,2,9,0.222222,9.122237198734751,Авиастроительная,1.6601796361019858,0,0,1,0,5500000,15.520258832020865,3.6938669956249757,1.0
2,40.3,2,5,0.4,5.622684411513582,Яшьлек,1.669951675195653,0,0,0,0,6890000,15.745581788127712,3.720862499966987,2.0
2,53.6,2,5,0.4,10.688118210551169,Авиастроительная,4.394420817059291,0,0,1,0,5700000,15.555976908243359,4.000033882750859,2.0
студия,31.8,17,19,0.894737,4.43320130003976,Суконная слобода,3.827358056988085,0,0,1,0,8600000,15.967272877502799,3.490428515390098,
1,30.5,1,5,0.2,4.850030918925665,Яшьлек,1.822769009056754,0,0,1,0,6299999,15.65606019136176,3.449987545831587,1.0
2,50.1,8,9,0.888889,8.373204594903896,Дубравная,0.2099630911480438,0,0,1,0,8420000,15.946120504983348,3.933784497209659,2.0
студия,13.0,5,9,0.555556,5.119794921799448,Козья слобода,2.787197510975985,0,0,1,0,2800000,14.845130332288226,2.6390573296152584,
2,50.0,4,10,0.4,4.209989351009695,Козья слобода,2.9969350359739493,0,0,1,0,9990000,16.11709525072483,3.9318256327243257,2.0
1,30.1,1,5,0.2,4.416493183130656,Суконная слобода,4.101520848756479,0,0,0,0,5900000,15.59046307836746,3.4372078191851885,1.0
студия,12.6,6,9,0.666667,1.6992986641501713,Площадь Тукая,1.3803315376432828,0,0,1,0,3800000,15.150511887854474,2.6100697927420065,
1,35.7,5,9,0.555556,5.382788248232844,Северный вокзал,3.0846678516455897,0,0,1,0,7400000,15.816990693309524,3.6027767550605247,1.0
