"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,"Расстояние до центра, км",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Есть Балкон,Есть Лоджия,Metro_Аметьево,Metro_Горки,Metro_Дубравная,Metro_Козья слобода,Metro_Кремлёвская,Metro_Площадь Тукая,Metro_Проспект Победы,Metro_Северный вокзал,Metro_Суконная слобода,Metro_Яшьлек,Цена_log
40.1,8,20,2.9041799626762765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.382956872355646
43.7,3,10,5.670943703462874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.097893045681612
24.7,1,19,6.30599107933822,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.670244982848228
30.7,9,10,13.589928073571812,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.547166280113759
72.6,9,12,7.749666672297249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.565405654245435
202.0,19,19,3.464612200344256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.370858648025116
39.1,19,20,2.9041799626762765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.243758757145173
67.0,10,21,8.04232011280695,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.40327466837995
17.4,3,3,0.6532487093983349,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.564710586686562
41.8,1,5,1.5529229930600603,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.86578085104395
88.6,3,6,3.823325174561187,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.038378443942648
139.0,9,10,7.521475030375569,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.785925074816024
26.3,1,3,16.5825592615498,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.219153803118994
42.2,10,19,5.919782431929175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.213315008456604
33.8,5,10,2.7938446635325165,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.16593307570136
54.7,6,25,12.900455169238413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.122486098821536
74.1,2,10,8.832853229002227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.496532155171714
69.4,9,10,9.354827436118542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.42558042423569
76.9,2,18,6.57003484239616,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.754143292415755
53.4,3,9,6.776055620076078,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.978833698567334
13.3,2,5,7.785606959137636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45736497045232
30.4,5,5,5.452190448213832,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.631962802384313
30.3,2,3,20.587856271164547,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.483217567201578
100.0,13,19,3.4474075325360705,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.810742756501593
47.1,12,13,12.86033109261013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.01051055163695
36.3,4,9,2.5841662672408066,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.176364653421913
60.4,4,5,0.4216733162981688,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.61887099947687
60.0,3,5,5.79625628135264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.931766193248746
26.5,26,27,4.4449793015783925,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16.001561947061912
56.1,18,20,2.9041799626762765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.68746378692471
59.0,2,3,15.8602259937377,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.554220981849422
125.8,2,4,0.614558555581301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.993147676499913
